site_no	station_nm	dd_nu	parameter_cd	result_dt	result_tz_cd	result_va	result_cd	result_md
0204382800	PASQUOTANK RIVER NEAR SOUTH MILLS, NC	15	00060	2014-10-03 21:15:00	EDT	22		2014-10-03 21:28:03
02053200	POTECASI CREEK NEAR UNION, NC	01	00060	2014-10-03 21:00:00	EDT	42		2014-10-03 21:12:03
02053500	AHOSKIE CREEK AT AHOSKIE, NC	01	00060	2014-10-03 21:00:00	EDT	11		2014-10-03 21:06:04
02068500	DAN RIVER NEAR FRANCISCO, NC	01	00060	2014-10-03 20:30:00	EDT	107		2014-10-03 20:49:07
02069000	DAN RIVER AT PINE HALL, NC	01	00060	2014-10-03 21:15:00	EDT	219		2014-10-03 21:30:04
02070500	MAYO RIVER NEAR PRICE, NC	02	00060	2014-10-03 20:45:00	EDT	145		2014-10-03 20:50:04
02071000	DAN RIVER NEAR WENTWORTH, NC	02	00060	2014-10-03 20:45:00	EDT	442		2014-10-03 20:50:04
02074000	SMITH RIVER AT EDEN, NC	02	00060	2014-10-03 21:00:00	EDT	464		2014-10-03 21:10:03
02077200	HYCO CREEK NEAR LEASBURG, NC	02	00060	2014-10-03 20:45:00	EDT	1.6		2014-10-03 20:52:04
02077303	HYCO R BL ABAY D NR MCGEHEES MILL, NC	02	00060	2014-10-03 20:45:00	EDT	3.3		2014-10-03 20:52:04
02077670	MAYO CR NR BETHEL HILL, NC	01	00060	2014-10-03 20:45:00	EDT	4.8		2014-10-03 20:52:04
02080500	ROANOKE RIVER AT ROANOKE RAPIDS, NC	04	00060	2014-10-03 20:45:00	EDT	2030		2014-10-03 21:00:04
0208111310	CASHIE RIVER AT SR1257 NEAR WINDSOR, NC	02	00060	2014-10-03 21:15:00	EDT	26		2014-10-03 21:20:03
02081500	TAR RIVER NEAR TAR RIVER, NC	01	00060	2014-10-03 20:30:00	EDT	10		2014-10-03 20:49:07
02081747	TAR R AT US 401 AT LOUISBURG, NC	01	00060	2014-10-03 20:45:00	EDT	40		2014-10-03 20:58:02
02081942	TAR RIVER AT NC-581 NEAR SPRING HOPE, NC	02	00060	2014-10-03 21:15:00	EDT	160		2014-10-03 21:28:03
0208250410	TAR RIVER BELOW DAM NEAR LANGLEY CROSSROADS, NC	12	00060	2014-10-03 21:15:00	EDT	186		2014-10-03 21:26:03
02082585	TAR RIVER AT NC 97 AT ROCKY MOUNT, NC	01	00060	2014-10-03 21:00:00	EDT	219		2014-10-03 21:10:03
02082770	SWIFT CREEK AT HILLIARDSTON, NC	01	00060	2014-10-03 20:45:00	EDT	69		2014-10-03 20:58:02
02082950	LITTLE FISHING CREEK NEAR WHITE OAK, NC	01	00060	2014-10-03 21:00:00	EDT	69		2014-10-03 21:12:03
02083000	FISHING CREEK NEAR ENFIELD, NC	02	00060	2014-10-03 21:00:00	EDT	209		2014-10-03 21:04:07
02083500	TAR RIVER AT TARBORO, NC	02	00060	2014-10-03 21:15:00	EDT	1070		2014-10-03 21:35:17
02084000	TAR RIVER AT GREENVILLE, NC	16	00060	2014-10-03 20:45:00	EDT	1330		2014-10-03 21:08:03
02084160	CHICOD CR AT SR1760 NEAR SIMPSON, NC	02	00060	2014-10-03 20:45:00	EDT	18		2014-10-03 20:52:04
02084557	VAN SWAMP NEAR HOKE, NC	02	00060	2014-10-03 20:30:00	EDT	50		2014-10-03 20:49:07
02085000	ENO RIVER AT HILLSBOROUGH, NC	01	00060	2014-10-03 20:45:00	EDT	2.6		2014-10-03 20:54:04
02085070	ENO RIVER NEAR DURHAM, NC	02	00060	2014-10-03 21:15:00	EDT	9.3		2014-10-03 21:35:17
0208521324	LITTLE RIVER AT SR1461 NEAR ORANGE FACTORY, NC	02	00060	2014-10-03 21:15:00	EDT	3.2		2014-10-03 21:28:03
0208524090	MOUNTAIN CREEK AT SR1617 NR BAHAMA, NC	02	00060	2014-10-03 21:15:00	EDT	0.20		2014-10-03 21:20:03
0208524975	LITTLE R BL LITTLE R TRIB AT FAIRNTOSH, NC	02	00060	2014-10-03 20:45:00	EDT	14		2014-10-03 21:00:04
02085500	FLAT RIVER AT BAHAMA, NC	01	00060	2014-10-03 20:45:00	EDT	14		2014-10-03 20:58:02
02086500	FLAT RIVER AT DAM NEAR BAHAMA, NC	02	00060	2014-10-03 20:45:00	EDT	0.06		2014-10-03 20:58:02
02086624	KNAP OF REEDS CREEK NEAR BUTNER, NC	02	00060	2014-10-03 21:00:00	EDT	6.9		2014-10-03 21:10:03
0208675010	ELLERBE CREEK AT CLUB BOULEVARD AT DURHAM, NC	02	00060	2014-10-03 21:30:00	EDT	0.43		2014-10-03 21:35:17
02086849	ELLERBE CREEK NEAR GORMAN, NC	02	00060	2014-10-03 21:00:00	EDT	16		2014-10-03 21:10:03
02087183	NEUSE RIVER NEAR FALLS, NC	02	00060	2014-10-03 21:15:00	EDT	134		2014-10-03 21:35:17
0208726005	CRABTREE CR AT EBENEZER CHURCH RD NR RALEIGH, NC	03	00060	2014-10-03 21:00:00	EDT	36		2014-10-03 21:10:03
02087275	CRABTREE CREEK AT HWY 70 AT RALEIGH, NC	02	00060	2014-10-03 21:00:00	EDT	35		2014-10-03 21:10:03
02087324	CRABTREE CREEK AT US 1 AT RALEIGH, NC	02	00060	2014-10-03 21:15:00	EDT	48		2014-10-03 21:30:04
0208732534	PIGEON HOUSE CR AT CAMERON VILLAGE AT RALEIGH, NC	02	00060	2014-10-03 20:35:00	EDT	0.06		2014-10-03 21:04:07
0208732885	MARSH CREEK NEAR NEW HOPE, NC	03	00060	2014-10-03 21:30:00	EDT	2.4		2014-10-03 21:40:03
0208735012	ROCKY BRANCH BELOW PULLEN DRIVE AT RALEIGH, NC	05	00060	2014-10-03 21:30:00	EDT	0.40		2014-10-03 21:35:17
02087359	WALNUT CREEK AT SUNNYBROOK DRIVE NR RALEIGH, NC	02	00060	2014-10-03 21:30:00	EDT	7.5		2014-10-03 21:35:17
02087500	NEUSE RIVER NEAR CLAYTON, NC	05	00060	2014-10-03 21:15:00	EDT	376		2014-10-03 21:35:17
02087580	SWIFT CREEK NEAR APEX, NC	13	00060	2014-10-03 20:45:00	EDT	4.3		2014-10-03 21:04:07
0208758850	SWIFT CREEK NEAR MCCULLARS CROSSROADS, NC	02	00060	2014-10-03 20:45:00	EDT	4.7		2014-10-03 21:04:07
0208773375	SWIFT CREEK AT SR1555 NEAR CLAYTON, NC	11	00060	2014-10-03 21:15:00	EDT	11		2014-10-03 21:30:04
02088000	MIDDLE CREEK NEAR CLAYTON, NC	01	00060	2014-10-03 21:00:00	EDT	31		2014-10-03 21:12:03
02088383	LITTLE RIVER NEAR ZEBULON, NC	02	00060	2014-10-03 21:15:00	EDT	13		2014-10-03 21:30:04
02088500	LITTLE RIVER NEAR PRINCETON, NC	02	00060	2014-10-03 21:30:00	EDT	110		2014-10-03 21:38:04
02089000	NEUSE RIVER NEAR GOLDSBORO, NC	02	00060	2014-10-03 21:15:00	EDT	1100		2014-10-03 21:35:17
